tj;ca;dep
TJ AUCH;CA AGEN;32
TJ CAHORS;CA AGEN;46
TJ AGEN;CA AGEN;47
TJ DIGNE LES BAINS;CA AIX EN PROVENCE;4
TJ GRASSE;CA AIX EN PROVENCE;6
TJ NICE;CA AIX EN PROVENCE;6
TJ AIX EN PROVENCE;CA AIX EN PROVENCE;13
TJ MARSEILLE;CA AIX EN PROVENCE;13
TJ TARASCON;CA AIX EN PROVENCE;13
TJ DRAGUIGNAN;CA AIX EN PROVENCE;83
TJ TOULON;CA AIX EN PROVENCE;83
TJ LAON;CA AMIENS;2
TJ SOISSONS;CA AMIENS;2
TJ ST QUENTIN;CA AMIENS;2
TJ BEAUVAIS;CA AMIENS;60
TJ SENLIS;CA AMIENS;60
TJ COMPIEGNE;CA AMIENS;60
TJ AMIENS;CA AMIENS;80
TJ SAUMUR;CA ANGERS;49
TJ ANGERS;CA ANGERS;49
TJ LAVAL;CA ANGERS;53
TJ LE MANS;CA ANGERS;72
TJ POINTE A PITRE;CA BASSE TERRE;971
TJ BASSE TERRE;CA BASSE TERRE;971
TJ AJACCIO;CA BASTIA;2A
TJ BASTIA;CA BASTIA;2B
TJ BESANCON;CA BESANCON;25
TJ MONTBELIARD;CA BESANCON;25
TJ LONS LE SAUNIER;CA BESANCON;39
TJ VESOUL;CA BESANCON;70
TJ BELFORT;CA BESANCON;90
TJ ANGOULEME;CA BORDEAUX;16
TJ PERIGUEUX;CA BORDEAUX;24
TJ BERGERAC;CA BORDEAUX;24
TJ LIBOURNE;CA BORDEAUX;33
TJ BORDEAUX;CA BORDEAUX;33
TJ BOURGES;CA BOURGES;18
TJ CHATEAUROUX;CA BOURGES;36
TJ NEVERS;CA BOURGES;58
TJ LISIEUX;CA CAEN;14
TJ CAEN;CA CAEN;14
TJ COUTANCES;CA CAEN;50
TJ CHERBOURG-EN-COTENTIN;CA CAEN;50
TJ ALENCON;CA CAEN;61
TJ ARGENTAN;CA CAEN;61
TJ CAYENNE;CA CAYENNE;973
TJ CHAMBERY;CA CHAMBERY;73
TJ ALBERTVILLE;CA CHAMBERY;73
TJ THONON LES BAINS;CA CHAMBERY;74
TJ ANNECY;CA CHAMBERY;74
TJ BONNEVILLE;CA CHAMBERY;74
TJ STRASBOURG;CA COLMAR;67
TJ SAVERNE;CA COLMAR;67
TJ COLMAR;CA COLMAR;67
TJ MULHOUSE;CA COLMAR;68
TJ DIJON;CA DIJON;21
TJ CHAUMONT;CA DIJON;52
TJ CHALON SUR SAONE;CA DIJON;71
TJ MACON;CA DIJON;71
TJ CAMBRAI;CA DOUAI;59
TJ VALENCIENNES;CA DOUAI;59
TJ AVESNES SUR HELPE;CA DOUAI;59
TJ DOUAI;CA DOUAI;59
TJ LILLE;CA DOUAI;59
TJ DUNKERQUE;CA DOUAI;59
TJ ARRAS;CA DOUAI;62
TJ ST OMER;CA DOUAI;62
TJ BOULOGNE SUR MER;CA DOUAI;62
TJ BETHUNE;CA DOUAI;62
TJ FORT DE FRANCE;CA FORT DE FRANCE;972
TJ GAP;CA GRENOBLE;5
TJ VALENCE;CA GRENOBLE;26
TJ BOURGOIN JALLIEU;CA GRENOBLE;38
TJ GRENOBLE;CA GRENOBLE;38
TJ VIENNE;CA GRENOBLE;38
TJ TULLE;CA LIMOGES;19
TJ BRIVE LA GAILLARDE;CA LIMOGES;19
TJ GUERET;CA LIMOGES;23
TJ LIMOGES;CA LIMOGES;87
TJ BOURG EN BRESSE;CA LYON;1
TJ ST ETIENNE;CA LYON;42
TJ ROANNE;CA LYON;42
TJ VILLEFRANCHE SUR SAONE;CA LYON;69
TJ LYON;CA LYON;69
TJ THIONVILLE;CA METZ;57
TJ METZ;CA METZ;57
TJ SARREGUEMINES;CA METZ;57
TJ CARCASSONNE;CA MONTPELLIER;11
TJ NARBONNE;CA MONTPELLIER;11
TJ RODEZ;CA MONTPELLIER;12
TJ BEZIERS;CA MONTPELLIER;34
TJ MONTPELLIER;CA MONTPELLIER;34
TJ PERPIGNAN;CA MONTPELLIER;66
TJ NANCY;CA NANCY;54
TJ VAL DE BRIEY;CA NANCY;54
TJ BAR LE DUC;CA NANCY;55
TJ VERDUN;CA NANCY;55
TJ EPINAL;CA NANCY;88
TJ PRIVAS;CA NIMES;7
TJ NIMES;CA NIMES;30
TJ ALES;CA NIMES;30
TJ MENDE;CA NIMES;48
TJ CARPENTRAS;CA NIMES;84
TJ AVIGNON;CA NIMES;84
TJ TOURS;CA ORLEANS;37
TJ BLOIS;CA ORLEANS;41
TJ MONTARGIS;CA ORLEANS;45
TJ ORLEANS;CA ORLEANS;45
TJ PARIS;CA PARIS;75
TJ FONTAINEBLEAU;CA PARIS;77
TJ MEAUX;CA PARIS;77
TJ MELUN;CA PARIS;77
TJ AUXERRE;CA PARIS;89
TJ SENS;CA PARIS;89
TJ ÉVRY-COURCOURONNES;CA PARIS;91
TJ BOBIGNY;CA PARIS;93
TJ CRETEIL;CA PARIS;94
TJ MONT DE MARSAN;CA PAU;40
TJ DAX;CA PAU;40
TJ PAU;CA PAU;64
TJ BAYONNE;CA PAU;64
TJ TARBES;CA PAU;65
TJ SAINTES;CA POITIERS;17
TJ LA ROCHELLE;CA POITIERS;17
TJ NIORT;CA POITIERS;79
TJ LA ROCHE SUR YON;CA POITIERS;85
TJ SABLES-D'OLONNE;CA POITIERS;85
TJ POITIERS;CA POITIERS;86
TJ CHARLEVILLE MEZIERES;CA REIMS;8
TJ TROYES;CA REIMS;10
TJ CHALONS EN CHAMPAGNE;CA REIMS;51
TJ REIMS;CA REIMS;51
TJ ST BRIEUC;CA RENNES;22
TJ ST MALO;CA RENNES;22
TJ QUIMPER;CA RENNES;29
TJ BREST;CA RENNES;29
TJ RENNES;CA RENNES;35
TJ NANTES;CA RENNES;44
TJ ST NAZAIRE;CA RENNES;44
TJ VANNES;CA RENNES;56
TJ LORIENT;CA RENNES;56
TJ CUSSET;CA RIOM;3
TJ MOULINS;CA RIOM;3
TJ MONTLUCON;CA RIOM;3
TJ AURILLAC;CA RIOM;15
TJ LE PUY EN VELAY;CA RIOM;43
TJ CLERMONT FERRAND;CA RIOM;63
TJ EVREUX;CA ROUEN;27
TJ ROUEN;CA ROUEN;76
TJ LE HAVRE;CA ROUEN;76
TJ DIEPPE;CA ROUEN;76
TJ ST PIERRE;CA ST DENIS;974
TJ ST DENIS;CA ST DENIS;974
TJ MAMOUDZOU;CA ST DENIS;976
TJ FOIX;CA TOULOUSE;9
TJ ST GAUDENS;CA TOULOUSE;31
TJ TOULOUSE;CA TOULOUSE;31
TJ CASTRES;CA TOULOUSE;81
TJ ALBI;CA TOULOUSE;81
TJ MONTAUBAN;CA TOULOUSE;82
TJ CHARTRES;CA VERSAILLES;28
TJ VERSAILLES;CA VERSAILLES;78
TJ NANTERRE;CA VERSAILLES;92
TJ PONTOISE;CA VERSAILLES;95
TPI PAPEETE;CA PAPEETE;987
TPI MATA UTU;CA NOUMEA;975
TPI NOUMEA;CA NOUMEA;975